Country Name,2018,2019,2020,2021
Aruba,105846,106310,106766,107195
Afghanistan,37171922,38041757,38928341,39835428
Angola,30809787,31825299,32866268,33933611
Albania,2866376,2854191,2837849,2811666
Andorra,77008,77146,77265,77354
United Arab Emirates,9630966,9770526,9890400,9991083
Argentina,44494502,44938712,45376763,45808747
Armenia,2951741,2957728,2963234,2968128
American Samoa,55461,55312,55197,55103
Antigua and Barbuda,96282,97115,97928,98728
Australia,24982688,25365745,25693267,25739256
Austria,8840521,8879920,8916864,8956279
Azerbaijan,9939771,10024283,10093121,10145212
Burundi,11175379,11530577,11890781,12255429
Belgium,11427054,11488980,11544241,11587882
Benin,11485035,11801151,12123198,12451031
Burkina Faso,19751466,20321383,20903278,21497097
Bangladesh,161376713,163046173,164689383,166303494
Bulgaria,7025037,6975761,6934015,6899125
Bahrain,1569440,1641164,1701583,1748295
"Bahamas, The",385635,389486,393248,396914
Bosnia and Herzegovina,3323929,3300998,3280815,3263459
Belarus,9438785,9419758,9379952,9340314
Belize,383071,390351,397621,404915
Bermuda,63918,63911,63893,63867
Bolivia,11353140,11513102,11673029,11832936
Brazil,209469320,211049519,212559409,213993441
Barbados,286640,287021,287371,287708
Brunei Darussalam,428960,433296,437483,441532
Bhutan,754396,763094,771612,779900
Botswana,2254067,2303703,2351625,2397240
Canada,37065084,37601230,38037204,38246108
Switzerland,8514329,8575280,8636561,8697723
Channel Islands,170496,172264,173859,175244
Chile,18729166,18952035,19116209,19212362
China,1402760000,1407745000,1411100000,1412360000
Cote d'Ivoire,25069226,25716554,26378275,27053629
Cameroon,25216261,25876387,26545864,27224262
"Congo, Dem. Rep.",84068092,86790568,89561404,92377986
"Congo, Rep.",5244363,5380504,5518092,5657017
Colombia,49661056,50339443,50882884,51265841
Comoros,832322,850891,869595,888456
Cabo Verde,543764,549936,555988,561901
Costa Rica,4999443,5047561,5094114,5139053
Caribbean small states,7358929,7401389,7442291,7481631
Cuba,11338146,11333484,11326616,11317498
Curacao,159336,157441,154947,152369
Cayman Islands,64172,64948,65720,66498
Cyprus,1189262,1198574,1207361,1215588
Czech Republic,10629928,10671870,10697858,10703446
Germany,82905782,83092962,83160871,83129285
Djibouti,958923,973557,988002,1002197
Dominica,71626,71808,71991,72172
Denmark,5793636,5814422,5831404,5856733
Dominican Republic,10627147,10738957,10847904,10953714
Algeria,42228415,43053054,43851043,44616626
Ecuador,17084359,17373657,17643060,17888474
"Egypt, Arab Rep.",98423602,100388076,102334403,104258327
Euro area,341979171,342283354,342708355,342566541
Spain,46797754,47134837,47363419,47326687
Estonia,1321977,1326855,1329479,1329254
Ethiopia,109224410,112078727,114963583,117876226
Finland,5515525,5521606,5529543,5541696
Fiji,883490,889955,896444,902899
France,67101930,67248926,67379908,67499343
Faroe Islands,48497,48677,48865,49053
"Micronesia, Fed. Sts.",112640,113811,115021,116255
Gabon,2119275,2172578,2225728,2278829
United Kingdom,66460344,66836327,67081000,67326569
Georgia,3726549,3720161,3722716,3708610
Ghana,29767108,30417858,31072945,31732128
Gibraltar,33715,33706,33691,33691
Guinea,12414292,12771246,13132792,13497237
"Gambia, The",2280092,2347696,2416664,2486937
Guinea-Bissau,1874304,1920917,1967998,2015490
Equatorial Guinea,1308966,1355982,1402985,1449891
Greece,10732882,10721582,10700556,10664568
Grenada,111449,112002,112519,113015
Greenland,56023,56225,56367,56653
Guatemala,16346950,16604026,16858333,17109746
Guam,165770,167295,168783,170184
Guyana,779007,782775,786559,790329
"Hong Kong SAR, China",7452600,7507900,7481000,7413100
Honduras,9587523,9746115,9904608,10062994
Croatia,4087843,4065253,4047680,3899000
Haiti,11123183,11263079,11402533,11541683
Hungary,9775564,9771141,9750149,9709886
Indonesia,267670549,270625567,273523621,276361788
Isle of Man,84073,84589,85032,85410
India,1352642283,1366417756,1380004385,1393409033
Ireland,4867316,4934340,4985674,5028230
"Iran, Islamic Rep.",81800204,82913893,83992953,85028760
Iraq,38433604,39309789,40222503,41179351
Iceland,352721,360563,366463,372295
Israel,8882800,9054000,9215100,9364000
Italy,60421760,59729081,59449527,59066225
Jamaica,2934853,2948277,2961161,2973462
Jordan,9965322,10101697,10203140,10269022
Japan,126811000,126633000,126261000,125681593
Kazakhstan,18276452,18513673,18755666,19002586
Kenya,51392570,52573967,53771300,54985702
Kyrgyz Republic,6322800,6456200,6579900,6694200
Cambodia,16249795,16486542,16718971,16946446
Kiribati,115842,117608,119446,121388
St. Kitts and Nevis,52438,52834,53192,53546
"Korea, Rep.",51585058,51764822,51836239,51744876
Kuwait,4137314,4207077,4270563,4328553
Lao PDR,7061498,7169456,7275556,7379358
Lebanon,6859408,6855709,6825442,6769151
Liberia,4818976,4937374,5057677,5180208
Libya,6678565,6777453,6871287,6958538
St. Lucia,181890,182795,183629,184401
Liechtenstein,37918,38020,38137,38254
Sri Lanka,21670000,21803000,21919000,22156000
Lesotho,2108327,2125267,2142252,2159067
Lithuania,2801543,2794137,2794885,2795321
Luxembourg,607950,620001,630419,639070
Latvia,1927174,1913822,1900449,1883162
"Macao SAR, China",631633,640446,649342,658391
St. Martin (French part),37264,38002,38659,39239
Morocco,36029089,36471766,36910558,37344787
Monaco,38682,38967,39244,39520
Moldova,2708214,2664974,2620495,2573928
Madagascar,26262313,26969306,27691019,28427333
Maldives,515704,530957,540542,543620
Mexico,126190782,127575529,128932753,130262220
Marshall Islands,58412,58791,59194,59618
North Macedonia,2076217,2076694,2072531,2065092
Mali,19077755,19658023,20250834,20855724
Malta,484630,504062,515332,516869
Myanmar,53708318,54045422,54409794,54806014
Montenegro,622227,622028,621306,620173
Mongolia,3170214,3225166,3278292,3329282
Northern Mariana Islands,56889,57213,57557,57910
Mozambique,29496009,30366043,31255435,32163045
Mauritania,4403312,4525698,4649660,4775110
Mauritius,1265303,1265711,1265740,1266060
Malawi,18143215,18628749,19129955,19647681
Malaysia,31528033,31949789,32365998,32776195
Namibia,2448300,2494524,2540916,2587344
New Caledonia,270650,271300,271960,272620
Niger,22442831,23310719,24206636,25130810
Nigeria,195874685,200963603,206139587,211400704
Nicaragua,6465502,6545503,6624554,6702379
Netherlands,17231624,17344874,17441500,17533405
Norway,5311916,5347896,5379475,5408320
Nepal,28095712,28608715,29136808,29674920
Nauru,10678,10764,10834,10873
New Zealand,4900600,4979200,5090200,5122600
Oman,4829476,4974992,5106622,5223376
Pakistan,212228288,216565317,220892331,225199929
Panama,4176868,4246440,4314768,4381583
Peru,31989265,32510462,32971846,33359416
Philippines,106651394,108116622,109581085,111046910
Palau,17911,18001,18092,18174
Papua New Guinea,8606324,8776119,8947027,9119005
Poland,37974750,37965475,37899070,37781024
Puerto Rico,3193354,3193694,3281538,3263584
"Korea, Dem. People's Rep.",25549606,25666158,25778815,25887045
Portugal,10283822,10286263,10297081,10299423
Paraguay,6956069,7044639,7132530,7219641
West Bank and Gaza,4569087,4685306,4803269,4922749
Pacific island small states,2455336,2491878,2528958,2566494
French Polynesia,277673,279285,280904,282534
Qatar,2781682,2832071,2881060,2930524
Romania,19473970,19371648,19257520,19115146
Russian Federation,144477859,144406261,144073139,143446060
Rwanda,12301969,12626938,12952209,13276517
Saudi Arabia,33702757,34268529,34813867,35340680
Sudan,41801532,42813237,43849269,44909351
Senegal,15854324,16296362,16743930,17196308
Singapore,5638676,5703569,5685807,5453566
Solomon Islands,652856,669821,686878,703995
Sierra Leone,7650149,7813207,7976985,8141343
El Salvador,6420740,6453550,6486201,6518500
San Marino,33784,33864,33938,34010
Somalia,15008225,15442906,15893219,16359500
Serbia,6982604,6945235,6899126,6844078
South Sudan,10975924,11062114,11193729,11381377
Sao Tome and Principe,211032,215048,219161,223364
Suriname,575987,581363,586634,591798
Slovak Republic,5446771,5454147,5458827,5447247
Slovenia,2073894,2088385,2102419,2107007
Sweden,10175214,10278887,10353442,10415811
Eswatini,1136274,1148133,1160164,1172369
Sint Maarten (Dutch part),40895,41608,42310,42846
Seychelles,96762,97625,98462,99202
Syrian Arab Republic,16945062,17070132,17500657,18275704
Turks and Caicos Islands,37667,38194,38718,39226
Chad,15477727,15946882,16425859,16914985
Togo,7889095,8082359,8278737,8478242
Thailand,69428454,69625581,69799978,69950844
Tajikistan,9100847,9321023,9537642,9749625
Turkmenistan,5850902,5942094,6031187,6117933
Timor-Leste,1267975,1293120,1318442,1343875
Tonga,103199,104497,105697,106759
Trinidad and Tobago,1389841,1394969,1399491,1403374
Tunisia,11565203,11694721,11818618,11935764
Turkiye,82340090,83429607,84339067,85042736
Tuvalu,11505,11655,11792,11925
Tanzania,56313444,58005461,59734213,61498438
Uganda,42729032,44269587,45741000,47123533
Ukraine,44622518,44386203,44132049,43814581
Uruguay,3449290,3461731,3473727,3485152
United States,326838199,328329953,331501080,331893745
Uzbekistan,32956100,33580350,34232050,34915100
St. Vincent and the Grenadines,110210,110593,110947,111269
"Venezuela, RB",28887117,28515829,28435943,28704947
British Virgin Islands,29795,30033,30237,30423
Virgin Islands (U.S.),107001,106669,106290,105870
Vietnam,95545959,96462108,97338583,98168829
Vanuatu,292675,299882,307150,314464
Samoa,196128,197093,198410,200144
Kosovo,1797085,1788878,1790133,1806279
"Yemen, Rep.",28498683,29161922,29825968,30490639
South Africa,57792520,58558267,59308690,60041996
Zambia,17351714,17861034,18383956,18920657
Zimbabwe,14438812,14645473,14862927,15092171
